Gold,Silver,Platinum,Palladium
39.05,2.011,0.0,0.0
39.28,2.05,0.0,0.0
39.3,2.03,0.0,0.0
39.1,1.991,0.0,0.0
38.95,1.921,0.0,0.0
39.28,1.842,0.0,0.0
39.1,1.872,0.0,0.0
39.0,1.972,0.0,0.0
39.05,1.877,0.0,0.0
39.2,1.923,0.0,0.0
39.2,1.898,0.0,0.0
39.25,1.913,0.0,0.0
39.48,1.913,0.0,0.0
39.5,1.972,0.0,0.0
39.2,1.958,0.0,0.0
39.0,1.933,0.0,0.0
39.18,1.903,0.0,0.0
39.2,1.963,0.0,0.0
39.43,1.981,0.0,0.0
39.53,1.992,0.0,0.0
39.3,1.957,0.0,0.0
39.4,1.967,0.0,0.0
39.55,2.002,0.0,0.0
39.68,2.011,0.0,0.0
39.88,2.061,0.0,0.0
39.9,2.069,0.0,0.0
40.0,2.086,0.0,0.0
39.95,2.103,0.0,0.0
40.23,2.085,0.0,0.0
40.55,0.0,0.0,0.0
40.25,0.0,0.0,0.0
40.0,0.0,0.0,0.0
40.1,2.105,0.0,0.0
39.7,1.988,0.0,0.0
39.9,1.92,0.0,0.0
39.8,1.978,0.0,0.0
39.85,1.968,0.0,0.0
40.15,1.943,0.0,0.0
40.28,1.947,0.0,0.0
40.5,1.987,0.0,0.0
40.35,2.001,0.0,0.0
40.5,2.035,0.0,0.0
40.6,2.036,0.0,0.0
40.63,1.976,0.0,0.0
40.95,2.019,0.0,0.0
40.98,1.984,0.0,0.0
41.0,1.987,0.0,0.0
40.97,1.958,0.0,0.0
41.23,1.962,0.0,0.0
41.9,2.004,0.0,0.0
41.73,2.004,0.0,0.0
41.7,1.971,0.0,0.0
41.6,1.966,0.0,0.0
0.0,1.957,0.0,0.0
41.75,1.937,0.0,0.0
41.9,1.967,0.0,0.0
41.9,1.947,0.0,0.0
41.8,1.958,0.0,0.0
42.05,1.967,0.0,0.0
42.05,1.972,0.0,0.0
42.1,1.977,0.0,0.0
42.45,2.017,0.0,0.0
42.5,2.007,0.0,0.0
42.3,2.042,0.0,0.0
42.1,2.016,0.0,0.0
42.5,2.027,0.0,0.0
42.7,2.038,0.0,0.0
42.35,2.017,0.0,0.0
42.2,1.994,0.0,0.0
42.2,1.994,0.0,0.0
42.48,2.015,0.0,0.0
42.53,2.002,0.0,0.0
42.05,1.982,0.0,0.0
42.1,1.988,0.0,0.0
42.2,1.999,0.0,0.0
42.43,1.987,0.0,0.0
42.5,1.981,0.0,0.0
42.55,2.001,0.0,0.0
42.54,2.001,0.0,0.0
42.43,1.987,0.0,0.0
42.5,1.991,0.0,0.0
42.73,1.983,0.0,0.0
42.63,1.922,0.0,0.0
42.53,1.885,0.0,0.0
42.45,1.883,0.0,0.0
42.55,1.883,0.0,0.0
42.5,1.873,0.0,0.0
42.58,1.833,0.0,0.0
42.5,1.77,0.0,0.0
42.65,1.855,0.0,0.0
42.58,1.804,0.0,0.0
42.65,1.829,0.0,0.0
42.63,1.843,0.0,0.0
42.63,1.829,0.0,0.0
42.7,1.833,0.0,0.0
42.65,1.803,0.0,0.0
42.7,1.799,0.0,0.0
42.8,1.834,0.0,0.0
42.7,1.825,0.0,0.0
42.7,1.815,0.0,0.0
42.85,1.797,0.0,0.0
43.0,1.862,0.0,0.0
43.25,1.886,0.0,0.0
43.5,1.925,0.0,0.0
43.83,1.901,0.0,0.0
42.95,1.879,0.0,0.0
42.85,1.833,0.0,0.0
43.1,1.871,0.0,0.0
43.0,1.836,0.0,0.0
43.1,1.831,0.0,0.0
43.0,1.813,0.0,0.0
43.1,1.824,0.0,0.0
43.2,1.813,0.0,0.0
43.2,1.833,0.0,0.0
43.35,1.846,0.0,0.0
43.35,1.832,0.0,0.0
43.43,1.82,0.0,0.0
43.46,1.814,0.0,0.0
43.23,1.83,0.0,0.0
42.9,1.825,0.0,0.0
43.15,1.814,0.0,0.0
43.25,1.799,0.0,0.0
43.38,1.835,0.0,0.0
43.38,1.826,0.0,0.0
43.4,1.802,0.0,0.0
43.39,1.814,0.0,0.0
43.4,1.801,0.0,0.0
43.15,1.8,0.0,0.0
42.98,1.797,0.0,0.0
43.25,1.797,0.0,0.0
43.2,1.807,0.0,0.0
43.23,1.802,0.0,0.0
43.15,1.8,0.0,0.0
43.3,1.77,0.0,0.0
43.35,1.785,0.0,0.0
43.35,1.792,0.0,0.0
43.3,1.782,0.0,0.0
43.6,1.81,0.0,0.0
43.5,1.794,0.0,0.0
43.6,1.776,0.0,0.0
43.6,1.778,0.0,0.0
43.6,1.777,0.0,0.0
43.5,1.769,0.0,0.0
43.38,1.758,0.0,0.0
43.6,1.807,0.0,0.0
43.63,1.846,0.0,0.0
43.53,1.817,0.0,0.0
43.5,1.795,0.0,0.0
43.5,1.749,0.0,0.0
43.5,1.776,0.0,0.0
43.5,1.761,0.0,0.0
43.5,1.781,0.0,0.0
43.5,1.761,0.0,0.0
43.43,1.749,0.0,0.0
43.45,1.759,0.0,0.0
43.45,1.751,0.0,0.0
43.5,1.758,0.0,0.0
43.48,1.783,0.0,0.0
43.33,1.767,0.0,0.0
43.23,1.771,0.0,0.0
43.08,1.772,0.0,0.0
42.68,1.773,0.0,0.0
42.29,1.773,0.0,0.0
42.08,1.758,0.0,0.0
41.6,1.766,0.0,0.0
40.63,1.749,0.0,0.0
41.25,1.722,0.0,0.0
42.3,1.687,0.0,0.0
41.4,1.684,0.0,0.0
41.5,1.685,0.0,0.0
41.6,1.686,0.0,0.0
40.8,1.679,0.0,0.0
41.45,1.593,0.0,0.0
41.4,1.578,0.0,0.0
41.45,1.603,0.0,0.0
41.3,1.628,0.0,0.0
41.3,1.566,0.0,0.0
40.93,1.584,0.0,0.0
40.9,1.587,0.0,0.0
41.0,1.579,0.0,0.0
41.1,1.559,0.0,0.0
41.2,1.564,0.0,0.0
41.15,1.595,0.0,0.0
41.23,1.57,0.0,0.0
41.55,1.573,0.0,0.0
41.6,1.588,0.0,0.0
41.85,1.594,0.0,0.0
42.1,1.613,0.0,0.0
41.83,1.618,0.0,0.0
41.9,1.663,0.0,0.0
41.89,1.631,0.0,0.0
42.0,1.652,0.0,0.0
42.0,1.683,0.0,0.0
41.8,1.669,0.0,0.0
41.98,1.636,0.0,0.0
41.95,1.653,0.0,0.0
42.0,1.668,0.0,0.0
41.95,1.675,0.0,0.0
41.8,1.66,0.0,0.0
41.9,1.643,0.0,0.0
41.85,1.645,0.0,0.0
41.78,1.653,0.0,0.0
41.5,1.621,0.0,0.0
41.48,1.622,0.0,0.0
41.39,1.629,0.0,0.0
41.43,1.614,0.0,0.0
41.3,1.617,0.0,0.0
41.1,1.599,0.0,0.0
41.0,1.614,0.0,0.0
41.05,1.614,0.0,0.0
41.15,1.624,0.0,0.0
41.2,1.69,0.0,0.0
41.1,1.654,0.0,0.0
41.2,1.675,0.0,0.0
41.19,1.707,0.0,0.0
41.11,1.696,0.0,0.0
41.13,1.68,0.0,0.0
41.1,1.659,0.0,0.0
41.1,1.686,0.0,0.0
41.05,1.674,0.0,0.0
41.05,1.683,0.0,0.0
40.95,1.674,0.0,0.0
40.88,1.663,0.0,0.0
40.95,1.673,0.0,0.0
40.95,1.664,0.0,0.0
40.86,1.674,0.0,0.0
40.73,1.688,0.0,0.0
40.83,1.705,0.0,0.0
40.93,1.705,0.0,0.0
40.9,1.702,0.0,0.0
40.91,1.728,0.0,0.0
41.05,1.758,0.0,0.0
40.95,1.754,0.0,0.0
40.93,1.769,0.0,0.0
41.05,1.804,0.0,0.0
41.0,1.781,0.0,0.0
41.0,1.768,0.0,0.0
40.98,1.81,0.0,0.0
40.85,1.79,0.0,0.0
40.9,1.799,0.0,0.0
40.88,1.818,0.0,0.0
40.84,1.868,0.0,0.0
40.84,1.891,0.0,0.0
40.75,1.845,0.0,0.0
40.75,1.831,0.0,0.0
40.63,1.839,0.0,0.0
40.68,1.876,0.0,0.0
40.75,1.863,0.0,0.0
40.88,1.894,0.0,0.0
40.95,1.87,0.0,0.0
40.75,1.825,0.0,0.0
40.78,1.864,0.0,0.0
40.73,1.823,0.0,0.0
40.79,1.844,0.0,0.0
40.73,1.84,0.0,0.0
40.63,1.826,0.0,0.0
40.7,1.825,0.0,0.0
40.73,1.808,0.0,0.0
40.63,1.843,0.0,0.0
40.53,1.813,0.0,0.0
40.35,1.854,0.0,0.0
40.3,1.874,0.0,0.0
40.05,1.846,0.0,0.0
40.0,1.863,0.0,0.0
40.05,1.853,0.0,0.0
40.15,1.906,0.0,0.0
40.05,1.885,0.0,0.0
39.98,1.896,0.0,0.0
39.93,1.927,0.0,0.0
39.75,1.947,0.0,0.0
39.55,1.996,0.0,0.0
39.55,1.968,0.0,0.0
39.4,1.993,0.0,0.0
39.0,1.989,0.0,0.0
38.53,1.964,0.0,0.0
38.13,1.943,0.0,0.0
38.35,1.957,0.0,0.0
37.75,1.961,0.0,0.0
37.8,1.932,0.0,0.0
37.88,1.922,0.0,0.0
37.83,1.921,0.0,0.0
37.55,1.897,0.0,0.0
36.65,1.877,0.0,0.0
36.3,1.902,0.0,0.0
36.13,1.896,0.0,0.0
35.5,1.897,0.0,0.0
35.45,1.868,0.0,0.0
35.6,1.868,0.0,0.0
35.55,1.882,0.0,0.0
35.6,1.887,0.0,0.0
35.55,1.907,0.0,0.0
35.3,1.922,0.0,0.0
35.38,1.908,0.0,0.0
35.25,1.877,0.0,0.0
35.2,1.852,0.0,0.0
35.05,1.862,0.0,0.0
35.0,1.812,0.0,0.0
35.05,1.758,0.0,0.0
35.2,1.767,0.0,0.0
35.3,1.748,0.0,0.0
35.13,1.758,0.0,0.0
35.05,1.758,0.0,0.0
35.08,1.733,0.0,0.0
35.01,1.722,0.0,0.0
35.0,1.738,0.0,0.0
35.15,1.756,0.0,0.0
35.11,1.774,0.0,0.0
0.0,1.799,0.0,0.0
35.2,1.824,0.0,0.0
35.2,1.8,0.0,0.0
35.2,1.791,0.0,0.0
35.08,1.8,0.0,0.0
35.18,1.831,0.0,0.0
35.05,1.85,0.0,0.0
35.0,1.825,0.0,0.0
34.95,1.838,0.0,0.0
34.9,1.837,0.0,0.0
34.98,1.814,0.0,0.0
34.89,1.829,0.0,0.0
34.85,1.84,0.0,0.0
34.8,1.875,0.0,0.0
34.75,1.856,0.0,0.0
34.75,1.87,0.0,0.0
34.8,1.887,0.0,0.0
34.85,1.866,0.0,0.0
35.0,1.869,0.0,0.0
34.99,1.878,0.0,0.0
34.98,1.896,0.0,0.0
35.0,1.881,0.0,0.0
34.99,1.869,0.0,0.0
35.01,1.921,0.0,0.0
34.99,1.912,0.0,0.0
34.99,1.894,0.0,0.0
35.0,1.9,0.0,0.0
35.0,1.923,0.0,0.0
35.0,1.902,0.0,0.0
35.0,1.898,0.0,0.0
35.01,1.907,0.0,0.0
35.03,1.908,0.0,0.0
35.0,1.893,0.0,0.0
35.0,1.89,0.0,0.0
34.99,1.897,0.0,0.0
34.99,1.901,0.0,0.0
34.98,1.885,0.0,0.0
34.95,1.866,0.0,0.0
34.98,1.885,0.0,0.0
34.99,1.877,0.0,0.0
34.98,1.882,0.0,0.0
34.99,1.882,0.0,0.0
35.0,1.87,0.0,0.0
35.0,1.875,0.0,0.0
35.02,1.899,0.0,0.0
35.0,1.891,0.0,0.0
35.01,1.901,0.0,0.0
34.98,1.897,0.0,0.0
34.99,1.928,0.0,0.0
34.95,1.902,0.0,0.0
34.95,1.888,0.0,0.0
34.96,1.885,0.0,0.0
34.99,1.89,0.0,0.0
34.99,1.88,0.0,0.0
35.03,1.87,0.0,0.0
35.05,1.874,0.0,0.0
35.07,1.864,0.0,0.0
35.13,1.857,0.0,0.0
35.23,1.881,0.0,0.0
35.14,1.869,0.0,0.0
35.15,1.864,0.0,0.0
35.22,1.856,0.0,0.0
35.27,1.859,0.0,0.0
35.31,1.875,0.0,0.0
35.3,1.878,0.0,0.0
35.38,1.876,0.0,0.0
35.38,1.89,0.0,0.0
35.34,1.878,0.0,0.0
35.28,1.872,0.0,0.0
35.3,1.859,0.0,0.0
35.38,1.858,0.0,0.0
35.39,1.857,0.0,0.0
35.38,1.844,0.0,0.0
35.4,1.855,0.0,0.0
35.75,1.865,0.0,0.0
35.6,1.855,0.0,0.0
35.75,1.855,0.0,0.0
35.75,1.865,0.0,0.0
35.8,1.865,0.0,0.0
35.88,1.86,0.0,0.0
35.95,1.863,0.0,0.0
35.85,1.855,0.0,0.0
35.8,1.85,0.0,0.0
35.74,1.837,0.0,0.0
35.85,1.804,0.0,0.0
35.85,1.749,0.0,0.0
35.85,1.724,0.0,0.0
35.88,1.734,0.0,0.0
35.94,1.734,0.0,0.0
36.22,1.653,0.0,0.0
36.23,1.729,0.0,0.0
36.23,1.699,0.0,0.0
36.2,1.729,0.0,0.0
36.1,1.749,0.0,0.0
35.98,1.754,0.0,0.0
35.95,1.719,0.0,0.0
35.95,1.679,0.0,0.0
35.98,1.684,0.0,0.0
35.96,1.703,0.0,0.0
35.97,1.69,0.0,0.0
35.95,1.678,0.0,0.0
35.93,1.641,0.0,0.0
35.89,1.623,0.0,0.0
35.83,1.568,0.0,0.0
35.74,1.596,0.0,0.0
35.65,1.627,0.0,0.0
35.45,1.631,0.0,0.0
35.4,1.652,0.0,0.0
35.25,1.609,0.0,0.0
35.13,1.622,0.0,0.0
35.19,1.644,0.0,0.0
35.21,1.644,0.0,0.0
35.53,1.645,0.0,0.0
35.51,1.67,0.0,0.0
35.55,1.685,0.0,0.0
35.65,1.646,0.0,0.0
35.63,1.629,0.0,0.0
35.52,1.63,0.0,0.0
35.38,1.639,0.0,0.0
35.4,1.658,0.0,0.0
35.4,1.633,0.0,0.0
35.35,1.653,0.0,0.0
35.39,1.641,0.0,0.0
35.4,1.65,0.0,0.0
35.55,1.636,0.0,0.0
35.5,1.629,0.0,0.0
35.45,1.627,0.0,0.0
35.48,1.625,0.0,0.0
35.49,1.607,0.0,0.0
35.49,1.624,0.0,0.0
35.44,1.639,0.0,0.0
35.35,1.623,0.0,0.0
35.35,1.624,0.0,0.0
35.3,1.596,0.0,0.0
35.3,1.622,0.0,0.0
35.3,1.622,0.0,0.0
35.35,1.624,0.0,0.0
35.31,1.619,0.0,0.0
35.31,1.638,0.0,0.0
35.28,1.656,0.0,0.0
35.3,1.685,0.0,0.0
35.3,1.658,0.0,0.0
35.31,1.692,0.0,0.0
35.3,1.724,0.0,0.0
35.31,1.739,0.0,0.0
35.3,1.729,0.0,0.0
35.31,1.722,0.0,0.0
35.3,1.734,0.0,0.0
35.3,1.777,0.0,0.0
35.28,1.783,0.0,0.0
35.3,1.768,0.0,0.0
35.3,1.768,0.0,0.0
35.33,1.783,0.0,0.0
35.31,1.761,0.0,0.0
35.32,1.776,0.0,0.0
35.33,1.748,0.0,0.0
35.3,1.736,0.0,0.0
35.28,1.758,0.0,0.0
35.23,1.727,0.0,0.0
35.25,1.743,0.0,0.0
35.26,1.765,0.0,0.0
35.25,1.757,0.0,0.0
35.25,1.786,0.0,0.0
35.25,1.814,0.0,0.0
35.25,1.839,0.0,0.0
35.33,1.818,0.0,0.0
35.41,1.81,0.0,0.0
35.46,1.841,0.0,0.0
35.6,1.855,0.0,0.0
35.69,1.865,0.0,0.0
35.73,1.843,0.0,0.0
35.8,1.837,0.0,0.0
35.93,1.847,0.0,0.0
36.1,1.839,0.0,0.0
36.28,1.842,0.0,0.0
36.25,1.849,0.0,0.0
36.13,1.846,0.0,0.0
36.08,1.846,0.0,0.0
36.25,1.868,0.0,0.0
36.18,1.852,0.0,0.0
36.33,1.843,0.0,0.0
36.3,1.843,0.0,0.0
36.2,1.813,0.0,0.0
36.05,1.79,0.0,0.0
36.21,1.807,0.0,0.0
36.15,1.779,0.0,0.0
36.24,1.772,0.0,0.0
36.28,1.78,0.0,0.0
36.17,1.78,0.0,0.0
36.23,1.769,0.0,0.0
36.15,1.73,0.0,0.0
36.19,1.758,0.0,0.0
36.2,1.745,0.0,0.0
36.4,1.701,0.0,0.0
36.38,1.72,0.0,0.0
36.33,1.73,0.0,0.0
36.73,1.73,0.0,0.0
36.83,1.706,0.0,0.0
36.68,1.748,0.0,0.0
36.73,1.765,0.0,0.0
36.93,1.745,0.0,0.0
37.19,1.745,0.0,0.0
37.43,1.745,0.0,0.0
37.25,1.718,0.0,0.0
37.55,1.744,0.0,0.0
37.5,1.747,0.0,0.0
37.6,1.738,0.0,0.0
37.88,1.717,0.0,0.0
37.97,1.732,0.0,0.0
38.0,1.728,0.0,0.0
38.45,1.731,0.0,0.0
38.9,1.791,0.0,0.0
39.01,1.799,0.0,0.0
38.68,1.792,0.0,0.0
38.18,1.767,0.0,0.0
37.25,1.783,0.0,0.0
37.65,1.795,0.0,0.0
37.43,1.781,0.0,0.0
37.2,1.792,0.0,0.0
36.75,1.814,0.0,0.0
37.1,1.789,0.0,0.0
37.33,1.786,0.0,0.0
37.33,1.824,0.0,0.0
37.2,1.79,0.0,0.0
37.35,1.807,0.0,0.0
37.66,1.779,0.0,0.0
37.68,1.777,0.0,0.0
37.63,1.791,0.0,0.0
37.46,1.771,0.0,0.0
37.39,1.76,0.0,0.0
37.63,1.744,0.0,0.0
37.45,1.755,0.0,0.0
37.6,1.723,0.0,0.0
37.65,1.663,0.0,0.0
37.65,1.68,0.0,0.0
37.6,1.661,0.0,0.0
37.54,1.653,0.0,0.0
37.45,1.607,0.0,0.0
37.55,1.651,0.0,0.0
37.55,1.641,0.0,0.0
37.54,1.651,0.0,0.0
37.4,1.64,0.0,0.0
37.38,1.628,0.0,0.0
37.1,1.596,0.0,0.0
37.15,1.579,0.0,0.0
37.18,1.604,0.0,0.0
37.3,1.628,0.0,0.0
37.63,1.638,0.0,0.0
37.56,1.613,0.0,0.0
37.63,1.593,0.0,0.0
37.63,1.648,0.0,0.0
37.63,1.651,0.0,0.0
37.68,1.667,0.0,0.0
37.33,1.63,0.0,0.0
0.0,1.641,0.0,0.0
37.35,1.64,0.0,0.0
37.33,1.651,0.0,0.0
37.43,1.636,0.0,0.0
37.38,1.633,0.0,0.0
37.44,1.653,0.0,0.0
37.51,1.652,0.0,0.0
37.42,1.647,0.0,0.0
37.39,1.69,0.0,0.0
37.5,1.691,0.0,0.0
37.75,1.709,0.0,0.0
37.95,1.697,0.0,0.0
38.03,1.701,0.0,0.0
37.95,1.684,0.0,0.0
38.1,1.681,0.0,0.0
38.05,1.629,0.0,0.0
37.9,1.591,0.0,0.0
38.13,1.58,0.0,0.0
38.08,1.576,0.0,0.0
37.94,1.562,0.0,0.0
38.05,1.586,0.0,0.0
38.15,1.614,0.0,0.0
38.05,1.563,0.0,0.0
38.05,1.586,0.0,0.0
38.05,1.593,0.0,0.0
38.18,1.594,0.0,0.0
38.5,1.609,0.0,0.0
38.93,1.62,0.0,0.0
38.46,1.617,0.0,0.0
38.41,1.605,0.0,0.0
38.7,1.613,0.0,0.0
38.85,1.581,0.0,0.0
38.85,1.578,0.0,0.0
38.95,1.594,0.0,0.0
38.85,1.59,0.0,0.0
38.95,1.584,0.0,0.0
38.95,1.584,0.0,0.0
38.88,1.592,0.0,0.0
38.84,1.596,0.0,0.0
38.73,1.601,0.0,0.0
38.75,1.604,0.0,0.0
38.79,1.597,0.0,0.0
38.75,1.588,0.0,0.0
38.78,1.575,0.0,0.0
38.8,1.587,0.0,0.0
38.69,1.599,0.0,0.0
38.71,1.628,0.0,0.0
38.81,1.614,0.0,0.0
38.75,1.615,0.0,0.0
38.75,1.637,0.0,0.0
38.79,1.657,0.0,0.0
38.81,1.662,0.0,0.0
38.85,1.667,0.0,0.0
39.0,1.661,0.0,0.0
39.04,1.657,0.0,0.0
39.0,1.657,0.0,0.0
38.9,1.678,0.0,0.0
38.93,1.676,0.0,0.0
39.0,1.672,0.0,0.0
38.95,1.669,0.0,0.0
38.96,1.672,0.0,0.0
38.95,1.679,0.0,0.0
38.89,1.664,0.0,0.0
38.93,1.664,0.0,0.0
38.88,1.688,0.0,0.0
38.78,1.691,0.0,0.0
38.8,1.69,0.0,0.0
38.88,1.686,0.0,0.0
38.9,1.713,0.0,0.0
38.88,1.711,0.0,0.0
38.89,1.739,0.0,0.0
38.85,1.727,0.0,0.0
38.9,1.735,0.0,0.0
38.98,1.754,0.0,0.0
38.95,1.747,0.0,0.0
38.9,1.728,0.0,0.0
38.91,1.734,0.0,0.0
38.95,1.71,0.0,0.0
38.95,1.71,0.0,0.0
38.91,1.725,0.0,0.0
38.9,1.74,0.0,0.0
39.15,1.737,0.0,0.0
39.05,1.722,0.0,0.0
38.9,1.722,0.0,0.0
38.95,1.672,0.0,0.0
39.23,1.689,0.0,0.0
39.45,1.703,0.0,0.0
39.7,1.689,0.0,0.0
39.43,1.679,0.0,0.0
39.65,1.656,0.0,0.0
40.1,1.694,0.0,0.0
40.3,1.69,0.0,0.0
39.78,1.686,0.0,0.0
39.84,1.671,0.0,0.0
40.2,1.677,0.0,0.0
40.45,1.669,0.0,0.0
40.8,1.681,0.0,0.0
41.2,1.7,0.0,0.0
40.7,1.676,0.0,0.0
40.9,1.684,0.0,0.0
40.6,1.677,0.0,0.0
41.15,1.672,0.0,0.0
40.98,1.657,0.0,0.0
40.78,1.606,0.0,0.0
41.03,1.635,0.0,0.0
40.9,1.609,0.0,0.0
40.7,1.604,0.0,0.0
40.84,1.601,0.0,0.0
40.84,1.613,0.0,0.0
40.6,1.59,0.0,0.0
40.6,1.587,0.0,0.0
40.6,1.587,0.0,0.0
40.45,1.585,0.0,0.0
40.18,1.582,0.0,0.0
