price,unit
69460,Yuan/MT
69575,Yuan/MT
69580,Yuan/MT
69250,Yuan/MT
68850,Yuan/MT
70035,Yuan/MT
70520,Yuan/MT
69860,Yuan/MT
70460,Yuan/MT
69810,Yuan/MT
69075,Yuan/MT
69040,Yuan/MT
69375,Yuan/MT
69520,Yuan/MT
68965,Yuan/MT
68700,Yuan/MT
69940,Yuan/MT
70320,Yuan/MT
70160,Yuan/MT
72540,Yuan/MT
74060,Yuan/MT
75750,Yuan/MT
73430,Yuan/MT
75190,Yuan/MT
73125,Yuan/MT
72585,Yuan/MT
72060,Yuan/MT
70770,Yuan/MT
71575,Yuan/MT
71180,Yuan/MT
70910,Yuan/MT
71270,Yuan/MT
71110,Yuan/MT
70650,Yuan/MT
70780,Yuan/MT
71435,Yuan/MT
71750,Yuan/MT
70955,Yuan/MT
70350,Yuan/MT
72250,Yuan/MT
72510,Yuan/MT
71820,Yuan/MT
72330,Yuan/MT
71610,Yuan/MT
70650,Yuan/MT
70180,Yuan/MT
69900,Yuan/MT
69830,Yuan/MT
69760,Yuan/MT
69815,Yuan/MT
69980,Yuan/MT
69750,Yuan/MT
68900,Yuan/MT
68875,Yuan/MT
68570,Yuan/MT
69525,Yuan/MT
69385,Yuan/MT
69520,Yuan/MT
69850,Yuan/MT
69840,Yuan/MT
70270,Yuan/MT
70060,Yuan/MT
70020,Yuan/MT
69910,Yuan/MT
69900,Yuan/MT
70850,Yuan/MT
72130,Yuan/MT
71570,Yuan/MT
70525,Yuan/MT
70330,Yuan/MT
70930,Yuan/MT
71000,Yuan/MT
70040,Yuan/MT
70270,Yuan/MT
70400,Yuan/MT
70480,Yuan/MT
70690,Yuan/MT
70500,Yuan/MT
72210,Yuan/MT
72580,Yuan/MT
71090,Yuan/MT
71550,Yuan/MT
71550,Yuan/MT
71525,Yuan/MT
71140,Yuan/MT
71170,Yuan/MT
71010,Yuan/MT
70880,Yuan/MT
71520,Yuan/MT
72540,Yuan/MT
72930,Yuan/MT
72080,Yuan/MT
72170,Yuan/MT
71790,Yuan/MT
72060,Yuan/MT
72740,Yuan/MT
73310,Yuan/MT
73510,Yuan/MT
73410,Yuan/MT
73880,Yuan/MT
73775,Yuan/MT
74100,Yuan/MT
73980,Yuan/MT
73575,Yuan/MT
73635,Yuan/MT
74000,Yuan/MT
73690,Yuan/MT
73765,Yuan/MT
73790,Yuan/MT
74550,Yuan/MT
74370,Yuan/MT
75385,Yuan/MT
75575,Yuan/MT
74740,Yuan/MT
74850,Yuan/MT
75070,Yuan/MT
73950,Yuan/MT
73770,Yuan/MT
74005,Yuan/MT
73930,Yuan/MT
73760,Yuan/MT
72875,Yuan/MT
72050,Yuan/MT
71160,Yuan/MT
72175,Yuan/MT
72070,Yuan/MT
71775,Yuan/MT
72150,Yuan/MT
72500,Yuan/MT
72220,Yuan/MT
71950,Yuan/MT
72625,Yuan/MT
72630,Yuan/MT
72150,Yuan/MT
72530,Yuan/MT
72975,Yuan/MT
72890,Yuan/MT
73030,Yuan/MT
72750,Yuan/MT
71250,Yuan/MT
71255,Yuan/MT
69975,Yuan/MT
68700,Yuan/MT
68160,Yuan/MT
66050,Yuan/MT
64340,Yuan/MT
64150,Yuan/MT
63940,Yuan/MT
64230,Yuan/MT
62930,Yuan/MT
61225,Yuan/MT
58125,Yuan/MT
58600,Yuan/MT
59600,Yuan/MT
58430,Yuan/MT
56460,Yuan/MT
56300,Yuan/MT
54890,Yuan/MT
56210,Yuan/MT
56920,Yuan/MT
56360,Yuan/MT
57030,Yuan/MT
58930,Yuan/MT
58710,Yuan/MT
60090,Yuan/MT
60315,Yuan/MT
60180,Yuan/MT
60260,Yuan/MT
59930,Yuan/MT
60520,Yuan/MT
61540,Yuan/MT
61780,Yuan/MT
62520,Yuan/MT
63000,Yuan/MT
62460,Yuan/MT
62470,Yuan/MT
62300,Yuan/MT
62950,Yuan/MT
63570,Yuan/MT
63715,Yuan/MT
63330,Yuan/MT
64270,Yuan/MT
63120,Yuan/MT
62770,Yuan/MT
61775,Yuan/MT
60500,Yuan/MT
61750,Yuan/MT
61700,Yuan/MT
61910,Yuan/MT
63650,Yuan/MT
63850,Yuan/MT
63050,Yuan/MT
63370,Yuan/MT
62865,Yuan/MT
63370,Yuan/MT
63120,Yuan/MT
63120,Yuan/MT
63025,Yuan/MT
61485,Yuan/MT
61430,Yuan/MT
62430,Yuan/MT
62670,Yuan/MT
63975,Yuan/MT
63800,Yuan/MT
63960,Yuan/MT
64760,Yuan/MT
63550,Yuan/MT
62950,Yuan/MT
62895,Yuan/MT
64000,Yuan/MT
64300,Yuan/MT
63950,Yuan/MT
64690,Yuan/MT
64650,Yuan/MT
64300,Yuan/MT
64950,Yuan/MT
64690,Yuan/MT
64700,Yuan/MT
66225,Yuan/MT
66800,Yuan/MT
67400,Yuan/MT
68575,Yuan/MT
67275,Yuan/MT
67050,Yuan/MT
66540,Yuan/MT
66275,Yuan/MT
65170,Yuan/MT
65260,Yuan/MT
65490,Yuan/MT
65640,Yuan/MT
65525,Yuan/MT
65290,Yuan/MT
66380,Yuan/MT
66400,Yuan/MT
66575,Yuan/MT
66225,Yuan/MT
66290,Yuan/MT
67000,Yuan/MT
66175,Yuan/MT
66625,Yuan/MT
66125,Yuan/MT
65750,Yuan/MT
65575,Yuan/MT
66225,Yuan/MT
66750,Yuan/MT
66000,Yuan/MT
66400,Yuan/MT
66270,Yuan/MT
66200,Yuan/MT
66175,Yuan/MT
66475,Yuan/MT
67500,Yuan/MT
68430,Yuan/MT
68725,Yuan/MT
68410,Yuan/MT
69750,Yuan/MT
69570,Yuan/MT
70150,Yuan/MT
69425,Yuan/MT
69560,Yuan/MT
69070,Yuan/MT
68425,Yuan/MT
67860,Yuan/MT
68250,Yuan/MT
68240,Yuan/MT
68225,Yuan/MT
68510,Yuan/MT
68950,Yuan/MT
68370,Yuan/MT
69080,Yuan/MT
69705,Yuan/MT
70400,Yuan/MT
70050,Yuan/MT
68550,Yuan/MT
69710,Yuan/MT
69865,Yuan/MT
69400,Yuan/MT
69610,Yuan/MT
68840,Yuan/MT
69025,Yuan/MT
68600,Yuan/MT
68925,Yuan/MT
67100,Yuan/MT
67340,Yuan/MT
67575,Yuan/MT
68100,Yuan/MT
68630,Yuan/MT
69230,Yuan/MT
69770,Yuan/MT
69580,Yuan/MT
69620,Yuan/MT
69650,Yuan/MT
69225,Yuan/MT
68830,Yuan/MT
68875,Yuan/MT
68580,Yuan/MT
69150,Yuan/MT
69405,Yuan/MT
70310,Yuan/MT
69650,Yuan/MT
69680,Yuan/MT
69500,Yuan/MT
68890,Yuan/MT
68290,Yuan/MT
67540,Yuan/MT
66625,Yuan/MT
67420,Yuan/MT
67290,Yuan/MT
66675,Yuan/MT
66590,Yuan/MT
64690,Yuan/MT
65200,Yuan/MT
64680,Yuan/MT
66025,Yuan/MT
65675,Yuan/MT
65280,Yuan/MT
64300,Yuan/MT
63750,Yuan/MT
64150,Yuan/MT
65600,Yuan/MT
65260,Yuan/MT
65850,Yuan/MT
66425,Yuan/MT
67160,Yuan/MT
67300,Yuan/MT
67180,Yuan/MT
67370,Yuan/MT
68350,Yuan/MT
68275,Yuan/MT
68960,Yuan/MT
69100,Yuan/MT
69650,Yuan/MT
68660,Yuan/MT
68300,Yuan/MT
68025,Yuan/MT
68000,Yuan/MT
68775,Yuan/MT
68500,Yuan/MT
68300,Yuan/MT
68150,Yuan/MT
68370,Yuan/MT
68040,Yuan/MT
68760,Yuan/MT
69825,Yuan/MT
68750,Yuan/MT
68580,Yuan/MT
68650,Yuan/MT
68670,Yuan/MT
68980,Yuan/MT
69200,Yuan/MT
69460,Yuan/MT
68950,Yuan/MT
69830,Yuan/MT
70925,Yuan/MT
69990,Yuan/MT
69425,Yuan/MT
69875,Yuan/MT
69290,Yuan/MT
69130,Yuan/MT
68710,Yuan/MT
68740,Yuan/MT
68690,Yuan/MT
68590,Yuan/MT
68590,Yuan/MT
68270,Yuan/MT
68260,Yuan/MT
68840,Yuan/MT
68925,Yuan/MT
68810,Yuan/MT
69700,Yuan/MT
69300,Yuan/MT
69530,Yuan/MT
69525,Yuan/MT
69880,Yuan/MT
70075,Yuan/MT
70175,Yuan/MT
70250,Yuan/MT
70250,Yuan/MT
69850,Yuan/MT
69850,Yuan/MT
69510,Yuan/MT
69150,Yuan/MT
69150,Yuan/MT
69060,Yuan/MT
69060,Yuan/MT
69550,Yuan/MT
69370,Yuan/MT
69390,Yuan/MT
69875,Yuan/MT
69875,Yuan/MT
69450,Yuan/MT
68970,Yuan/MT
68850,Yuan/MT
68720,Yuan/MT
68210,Yuan/MT
68200,Yuan/MT
67990,Yuan/MT
67450,Yuan/MT
67440,Yuan/MT
67440,Yuan/MT
67440,Yuan/MT
67440,Yuan/MT
67440,Yuan/MT
67440,Yuan/MT
67440,Yuan/MT
67130,Yuan/MT
67130,Yuan/MT
66725,Yuan/MT
66350,Yuan/MT
66420,Yuan/MT
66200,Yuan/MT
66675,Yuan/MT
66550,Yuan/MT
66625,Yuan/MT
66035,Yuan/MT
66550,Yuan/MT
67275,Yuan/MT
66875,Yuan/MT
66860,Yuan/MT
66860,Yuan/MT
67730,Yuan/MT
67680,Yuan/MT
67675,Yuan/MT
67780,Yuan/MT
68025,Yuan/MT
67810,Yuan/MT
68025,Yuan/MT
67930,Yuan/MT
67750,Yuan/MT
67675,Yuan/MT
67425,Yuan/MT
68100,Yuan/MT
68300,Yuan/MT
68350,Yuan/MT
68350,Yuan/MT
68665,Yuan/MT
68970,Yuan/MT
68500,Yuan/MT
68440,Yuan/MT
68675,Yuan/MT
68780,Yuan/MT
68480,Yuan/MT
68750,Yuan/MT
68870,Yuan/MT
69475,Yuan/MT
69700,Yuan/MT
68950,Yuan/MT
68670,Yuan/MT
68180,Yuan/MT
68540,Yuan/MT
68750,Yuan/MT
68375,Yuan/MT
68315,Yuan/MT
68525,Yuan/MT
69000,Yuan/MT
68750,Yuan/MT
68725,Yuan/MT
69140,Yuan/MT
69400,Yuan/MT
69400,Yuan/MT
69400,Yuan/MT
69120,Yuan/MT
69120,Yuan/MT
69250,Yuan/MT
69725,Yuan/MT
69225,Yuan/MT
69225,Yuan/MT
69150,Yuan/MT
68900,Yuan/MT
68780,Yuan/MT
68780,Yuan/MT
68820,Yuan/MT
68820,Yuan/MT
68820,Yuan/MT
68640,Yuan/MT
68640,Yuan/MT
68110,Yuan/MT
68170,Yuan/MT
68300,Yuan/MT
68300,Yuan/MT
68020,Yuan/MT
68020,Yuan/MT
67960,Yuan/MT
67640,Yuan/MT
67840,Yuan/MT
68020,Yuan/MT
67870,Yuan/MT
68140,Yuan/MT
68750,Yuan/MT
68920,Yuan/MT
68870,Yuan/MT
68890,Yuan/MT
69175,Yuan/MT
69100,Yuan/MT
68800,Yuan/MT
68525,Yuan/MT
67990,Yuan/MT
67950,Yuan/MT
67650,Yuan/MT
67650,Yuan/MT
67650,Yuan/MT
67650,Yuan/MT
67650,Yuan/MT
67650,Yuan/MT
67650,Yuan/MT
68320,Yuan/MT
68230,Yuan/MT
68820,Yuan/MT
68920,Yuan/MT
69310,Yuan/MT
69310,Yuan/MT
69310,Yuan/MT
69020,Yuan/MT
68720,Yuan/MT
68725,Yuan/MT
68710,Yuan/MT
68800,Yuan/MT
68865,Yuan/MT
68910,Yuan/MT
68775,Yuan/MT
69190,Yuan/MT
69600,Yuan/MT
69600,Yuan/MT
69300,Yuan/MT
69460,Yuan/MT
69630,Yuan/MT
71850,Yuan/MT
72060,Yuan/MT
72060,Yuan/MT
72890,Yuan/MT
73000,Yuan/MT
72460,Yuan/MT
72800,Yuan/MT
72090,Yuan/MT
72220,Yuan/MT
71700,Yuan/MT
71600,Yuan/MT
71950,Yuan/MT
72025,Yuan/MT
72700,Yuan/MT
72750,Yuan/MT
73400,Yuan/MT
73400,Yuan/MT
73400,Yuan/MT
75400,Yuan/MT
76000,Yuan/MT
76000,Yuan/MT
75980,Yuan/MT
75990,Yuan/MT
76240,Yuan/MT
76770,Yuan/MT
76320,Yuan/MT
76810,Yuan/MT
78810,Yuan/MT
80140,Yuan/MT
78340,Yuan/MT
78320,Yuan/MT
78700,Yuan/MT
79910,Yuan/MT
81700,Yuan/MT
81700,Yuan/MT
81700,Yuan/MT
81700,Yuan/MT
81700,Yuan/MT
80740,Yuan/MT
80740,Yuan/MT
79750,Yuan/MT
79750,Yuan/MT
79610,Yuan/MT
79890,Yuan/MT
80440,Yuan/MT
80440,Yuan/MT
81500,Yuan/MT
81410,Yuan/MT
82080,Yuan/MT
82510,Yuan/MT
86925,Yuan/MT
86925,Yuan/MT
86350,Yuan/MT
85540,Yuan/MT
83025,Yuan/MT
83250,Yuan/MT
84525,Yuan/MT
84220,Yuan/MT
83330,Yuan/MT
81700,Yuan/MT
81440,Yuan/MT
81800,Yuan/MT
80220,Yuan/MT
81090,Yuan/MT
81290,Yuan/MT
81290,Yuan/MT
79685,Yuan/MT
79570,Yuan/MT
79275,Yuan/MT
79350,Yuan/MT
78730,Yuan/MT
78590,Yuan/MT
78540,Yuan/MT
79440,Yuan/MT
79275,Yuan/MT
78230,Yuan/MT
78300,Yuan/MT
77360,Yuan/MT
77650,Yuan/MT
77620,Yuan/MT
77620,Yuan/MT
77800,Yuan/MT
77800,Yuan/MT
78430,Yuan/MT
78510,Yuan/MT
79800,Yuan/MT
79740,Yuan/MT
80040,Yuan/MT
79925,Yuan/MT
79660,Yuan/MT
79650,Yuan/MT
78810,Yuan/MT
79840,Yuan/MT
79125,Yuan/MT
78700,Yuan/MT
78075,Yuan/MT
76610,Yuan/MT
76610,Yuan/MT
76200,Yuan/MT
75480,Yuan/MT
74670,Yuan/MT
73210,Yuan/MT
74275,Yuan/MT
74150,Yuan/MT
73170,Yuan/MT
73810,Yuan/MT
74860,Yuan/MT
73380,Yuan/MT
73050,Yuan/MT
73050,Yuan/MT
71225,Yuan/MT
71310,Yuan/MT
70725,Yuan/MT
71710,Yuan/MT
72330,Yuan/MT
72330,Yuan/MT
72260,Yuan/MT
73610,Yuan/MT
73610,Yuan/MT
74025,Yuan/MT
73880,Yuan/MT
73560,Yuan/MT
73970,Yuan/MT
73510,Yuan/MT
73510,Yuan/MT
74400,Yuan/MT
74840,Yuan/MT
74880,Yuan/MT
73880,Yuan/MT
73950,Yuan/MT
73630,Yuan/MT
73680,Yuan/MT
72130,Yuan/MT
72000,Yuan/MT
72600,Yuan/MT
72600,Yuan/MT
71975,Yuan/MT
72800,Yuan/MT
72810,Yuan/MT
73560,Yuan/MT
74320,Yuan/MT
74320,Yuan/MT
74320,Yuan/MT
74320,Yuan/MT
74470,Yuan/MT
74690,Yuan/MT
75910,Yuan/MT
75475,Yuan/MT
76270,Yuan/MT
77750,Yuan/MT
77360,Yuan/MT
78920,Yuan/MT
78910,Yuan/MT
78910,Yuan/MT
78910,Yuan/MT
78910,Yuan/MT
78910,Yuan/MT
78910,Yuan/MT
78475,Yuan/MT
78475,Yuan/MT
77630,Yuan/MT
77400,Yuan/MT
77490,Yuan/MT
77490,Yuan/MT
77375,Yuan/MT
76990,Yuan/MT
76560,Yuan/MT
76970,Yuan/MT
76520,Yuan/MT
76520,Yuan/MT
77480,Yuan/MT
76770,Yuan/MT
76650,Yuan/MT
76425,Yuan/MT
76500,Yuan/MT
76470,Yuan/MT
76460,Yuan/MT
76520,Yuan/MT
76540,Yuan/MT
76550,Yuan/MT
76550,Yuan/MT
76760,Yuan/MT
77540,Yuan/MT
77440,Yuan/MT
76250,Yuan/MT
77250,Yuan/MT
77250,Yuan/MT
76490,Yuan/MT
75930,Yuan/MT
74740,Yuan/MT
73400,Yuan/MT
74050,Yuan/MT
74050,Yuan/MT
73820,Yuan/MT
74220,Yuan/MT
74690,Yuan/MT
74425,Yuan/MT
73940,Yuan/MT
73940,Yuan/MT
74290,Yuan/MT
73850,Yuan/MT
73810,Yuan/MT
73950,Yuan/MT
73940,Yuan/MT
73940,Yuan/MT
73880,Yuan/MT
74075,Yuan/MT
74700,Yuan/MT
74500,Yuan/MT
74540,Yuan/MT
74540,Yuan/MT
74890,Yuan/MT
75330,Yuan/MT
75710,Yuan/MT
75390,Yuan/MT
74640,Yuan/MT
74640,Yuan/MT
74410,Yuan/MT
74670,Yuan/MT
74130,Yuan/MT
73920,Yuan/MT
73800,Yuan/MT
74300,Yuan/MT
74050,Yuan/MT
74130,Yuan/MT
74320,Yuan/MT
74240,Yuan/MT
74150,Yuan/MT
73730,Yuan/MT
73730,Yuan/MT
73440,Yuan/MT
73200,Yuan/MT
73200,Yuan/MT
73200,Yuan/MT
73925,Yuan/MT
73925,Yuan/MT
74550,Yuan/MT
74550,Yuan/MT
74870,Yuan/MT
75380,Yuan/MT
75380,Yuan/MT
75630,Yuan/MT
75510,Yuan/MT
75425,Yuan/MT
76000,Yuan/MT
76340,Yuan/MT
75410,Yuan/MT
75500,Yuan/MT
75425,Yuan/MT
74875,Yuan/MT
75240,Yuan/MT
75250,Yuan/MT
75250,Yuan/MT
75250,Yuan/MT
75250,Yuan/MT
75250,Yuan/MT
75250,Yuan/MT
75250,Yuan/MT
75275,Yuan/MT
76210,Yuan/MT
76690,Yuan/MT
76910,Yuan/MT
76970,Yuan/MT
76725,Yuan/MT
77150,Yuan/MT
77720,Yuan/MT
77720,Yuan/MT
77250,Yuan/MT
76620,Yuan/MT
76930,Yuan/MT
77160,Yuan/MT
77325,Yuan/MT
77110,Yuan/MT
76920,Yuan/MT
76880,Yuan/MT
76775,Yuan/MT
76810,Yuan/MT
76970,Yuan/MT
76900,Yuan/MT
76820,Yuan/MT
78310,Yuan/MT
78710,Yuan/MT
77660,Yuan/MT
78790,Yuan/MT
79600,Yuan/MT
79960,Yuan/MT
79960,Yuan/MT
79925,Yuan/MT
80430,Yuan/MT
80570,Yuan/MT
81410,Yuan/MT
81280,Yuan/MT
81075,Yuan/MT
81075,Yuan/MT
81540,Yuan/MT
82420,Yuan/MT
81580,Yuan/MT
80610,Yuan/MT
80610,Yuan/MT
79950,Yuan/MT
80010,Yuan/MT
80050,Yuan/MT
79160,Yuan/MT
79160,Yuan/MT
74925,Yuan/MT
73580,Yuan/MT
72300,Yuan/MT
75125,Yuan/MT
74590,Yuan/MT
76135,Yuan/MT
76100,Yuan/MT
75860,Yuan/MT
76150,Yuan/MT
76290,Yuan/MT
76650,Yuan/MT
77160,Yuan/MT
78170,Yuan/MT
78050,Yuan/MT
78170,Yuan/MT
77600,Yuan/MT
78015,Yuan/MT
77930,Yuan/MT
77930,Yuan/MT
77930,Yuan/MT
77930,Yuan/MT
78210,Yuan/MT
78210,Yuan/MT
78450,Yuan/MT
78190,Yuan/MT
78190,Yuan/MT
78260,Yuan/MT
78160,Yuan/MT
78875,Yuan/MT
78675,Yuan/MT
78825,Yuan/MT
78070,Yuan/MT
78340,Yuan/MT
78440,Yuan/MT
78070,Yuan/MT
78030,Yuan/MT
78525,Yuan/MT
78440,Yuan/MT
78450,Yuan/MT
78460,Yuan/MT
78240,Yuan/MT
78240,Yuan/MT
78380,Yuan/MT
78520,Yuan/MT
78380,Yuan/MT
78870,Yuan/MT
78840,Yuan/MT
79260,Yuan/MT
79320,Yuan/MT
78770,Yuan/MT
78770,Yuan/MT
78830,Yuan/MT
78660,Yuan/MT
78370,Yuan/MT
78310,Yuan/MT
78410,Yuan/MT
78570,Yuan/MT
78930,Yuan/MT
80110,Yuan/MT
79990,Yuan/MT
80190,Yuan/MT
80990,Yuan/MT
80960,Yuan/MT
80510,Yuan/MT
79860,Yuan/MT
79800,Yuan/MT
79040,Yuan/MT
78630,Yuan/MT
78670,Yuan/MT
78460,Yuan/MT
78025,Yuan/MT
78060,Yuan/MT
78010,Yuan/MT
78625,Yuan/MT
79600,Yuan/MT
79760,Yuan/MT
79750,Yuan/MT
79790,Yuan/MT
79400,Yuan/MT
79080,Yuan/MT
79030,Yuan/MT
79280,Yuan/MT
78500,Yuan/MT
78370,Yuan/MT
78370,Yuan/MT
78625,Yuan/MT
78325,Yuan/MT
78480,Yuan/MT
78540,Yuan/MT
78540,Yuan/MT
78540,Yuan/MT
79140,Yuan/MT
79160,Yuan/MT
79510,Yuan/MT
79415,Yuan/MT
79130,Yuan/MT
79130,Yuan/MT
79130,Yuan/MT
79280,Yuan/MT
79100,Yuan/MT
78740,Yuan/MT
78780,Yuan/MT
78825,Yuan/MT
78825,Yuan/MT
79440,Yuan/MT
79550,Yuan/MT
79520,Yuan/MT
79160,Yuan/MT
79400,Yuan/MT
79400,Yuan/MT
79890,Yuan/MT
80140,Yuan/MT
80500,Yuan/MT
80080,Yuan/MT
80090,Yuan/MT
79840,Yuan/MT
79870,Yuan/MT
79760,Yuan/MT
80175,Yuan/MT
80740,Yuan/MT
80930,Yuan/MT
81080,Yuan/MT
80600,Yuan/MT
79990,Yuan/MT
79980,Yuan/MT
80210,Yuan/MT
80000,Yuan/MT
82525,Yuan/MT
82525,Yuan/MT
82480,Yuan/MT
82220,Yuan/MT
83240,Yuan/MT
83240,Yuan/MT
83240,Yuan/MT
83240,Yuan/MT
83240,Yuan/MT
83240,Yuan/MT
